,index,short_name,player_positions,overall,potential,age,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year,sex
568,161,L. Magull,CDM,78,86,21,Germany,Right,79.0,72.0,75.0,81.0,43.0,58.0,6,11,13,5,13,2017,F
569,162,Érika,CB,78,80,28,Brazil,Right,63.0,52.0,53.0,59.0,79.0,72.0,6,10,6,12,13,2017,F
570,163,Érika,CDM,78,80,28,Brazil,Right,63.0,52.0,53.0,59.0,79.0,72.0,6,10,6,12,13,2017,F
571,164,A. Majri,LB,78,81,23,France,Left,78.0,40.0,72.0,65.0,77.0,77.0,8,14,10,12,8,2017,F
572,165,A. Majri,LM,78,81,23,France,Left,78.0,40.0,72.0,65.0,77.0,77.0,8,14,10,12,8,2017,F
573,166,S. Huth,RM,78,80,25,Germany,Right,78.0,63.0,75.0,82.0,62.0,49.0,15,8,5,10,8,2017,F
574,167,S. Huth,ST,78,80,25,Germany,Right,78.0,63.0,75.0,82.0,62.0,49.0,15,8,5,10,8,2017,F
575,168,S. Huth,RB,78,80,25,Germany,Right,78.0,63.0,75.0,82.0,62.0,49.0,15,8,5,10,8,2017,F
576,169,M. Delie,ST,78,78,28,France,Right,73.0,78.0,71.0,78.0,28.0,64.0,10,11,9,9,11,2017,F
577,170,É. Bussaglia,CDM,78,78,30,France,Right,64.0,65.0,70.0,73.0,76.0,77.0,13,6,13,8,6,2017,F
578,171,S. Däbritz,CM,78,86,21,Germany,Left,82.0,68.0,77.0,81.0,47.0,61.0,11,12,14,9,14,2017,F
579,172,S. Däbritz,CDM,78,86,21,Germany,Left,82.0,68.0,77.0,81.0,47.0,61.0,11,12,14,9,14,2017,F
580,173,S. Däbritz,LM,78,86,21,Germany,Left,82.0,68.0,77.0,81.0,47.0,61.0,11,12,14,9,14,2017,F
581,174,E. Thorsnes,LB,78,78,27,Norway,Right,71.0,36.0,66.0,72.0,75.0,82.0,8,14,10,14,11,2017,F
582,175,E. Thorsnes,LM,78,78,27,Norway,Right,71.0,36.0,66.0,72.0,75.0,82.0,8,14,10,14,11,2017,F
583,176,A. Scott,RB,78,78,31,England,Right,76.0,35.0,56.0,65.0,77.0,68.0,7,5,12,9,15,2017,F
584,177,J. Nobbs,CM,78,84,23,England,Right,73.0,60.0,73.0,76.0,62.0,67.0,7,12,11,14,15,2017,F
585,178,J. Nobbs,RM,78,84,23,England,Right,73.0,60.0,73.0,76.0,62.0,67.0,7,12,11,14,15,2017,F
586,179,T. Duggan,ST,78,83,24,England,Right,72.0,77.0,65.0,76.0,36.0,74.0,11,14,13,10,11,2017,F
587,180,T. Duggan,CAM,78,83,24,England,Right,72.0,77.0,65.0,76.0,36.0,74.0,11,14,13,10,11,2017,F
588,181,Jenni Hermoso,CAM,78,81,26,Spain,Left,76.0,78.0,69.0,74.0,40.0,68.0,11,11,14,11,12,2017,F
589,182,Jenni Hermoso,CM,78,81,26,Spain,Left,76.0,78.0,69.0,74.0,40.0,68.0,11,11,14,11,12,2017,F
590,183,Jenni Hermoso,ST,78,81,26,Spain,Left,76.0,78.0,69.0,74.0,40.0,68.0,11,11,14,11,12,2017,F
591,184,Sonia Bermúdez,LM,78,78,31,Spain,Left,77.0,76.0,76.0,78.0,42.0,55.0,8,12,11,7,6,2017,F
592,185,Sonia Bermúdez,CF,78,78,31,Spain,Left,77.0,76.0,76.0,78.0,42.0,55.0,8,12,11,7,6,2017,F
593,186,K. Simon,ST,78,83,25,Australia,Right,84.0,78.0,48.0,77.0,40.0,67.0,6,7,7,10,11,2017,F
594,187,E. van Egmond,CM,78,87,22,Australia,Right,60.0,70.0,72.0,69.0,65.0,81.0,9,12,7,13,14,2017,F
595,188,E. van Egmond,CAM,78,87,22,Australia,Right,60.0,70.0,72.0,69.0,65.0,81.0,9,12,7,13,14,2017,F
596,189,E. van Egmond,CF,78,87,22,Australia,Right,60.0,70.0,72.0,69.0,65.0,81.0,9,12,7,13,14,2017,F
597,190,E. Haavi,LM,78,83,24,Norway,Right,91.0,58.0,76.0,80.0,64.0,63.0,9,13,12,6,6,2017,F
598,191,E. Haavi,CM,78,83,24,Norway,Right,91.0,58.0,76.0,80.0,64.0,63.0,9,13,12,6,6,2017,F
599,192,Han Peng,RM,78,79,26,China PR,Right,86.0,73.0,73.0,80.0,45.0,69.0,15,12,9,13,13,2017,F
600,193,Han Peng,LM,78,79,26,China PR,Right,86.0,73.0,73.0,80.0,45.0,69.0,15,12,9,13,13,2017,F
601,194,Wang Shanshan,RM,78,79,26,China PR,Left,80.0,70.0,73.0,77.0,70.0,78.0,13,13,14,7,8,2017,F
602,195,Wang Shanshan,ST,78,79,26,China PR,Left,80.0,70.0,73.0,77.0,70.0,78.0,13,13,14,7,8,2017,F
603,196,Wang Shanshan,CF,78,79,26,China PR,Left,80.0,70.0,73.0,77.0,70.0,78.0,13,13,14,7,8,2017,F
604,197,Wang Shanshan,RB,78,79,26,China PR,Left,80.0,70.0,73.0,77.0,70.0,78.0,13,13,14,7,8,2017,F
605,198,Debinha,RM,78,81,24,Brazil,Right,86.0,73.0,72.0,82.0,40.0,57.0,7,6,8,6,11,2017,F
606,199,Debinha,LM,78,81,24,Brazil,Right,86.0,73.0,72.0,82.0,40.0,57.0,7,6,8,6,11,2017,F
607,200,Bruna Benites,CB,78,78,30,Brazil,Right,61.0,48.0,47.0,59.0,77.0,77.0,12,11,6,5,11,2017,F
608,201,Fabiana,RB,78,78,27,Brazil,Right,82.0,60.0,71.0,76.0,74.0,74.0,10,15,12,11,6,2017,F
609,202,M. Domínguez,ST,78,78,37,Mexico,Left,64.0,79.0,58.0,74.0,31.0,56.0,6,6,13,8,11,2017,F
610,203,M. Brian,CM,78,84,23,United States,Right,75.0,67.0,73.0,74.0,74.0,76.0,6,5,7,9,8,2017,F
611,204,B. Schmidt,RB,78,79,26,Germany,Right,74.0,51.0,67.0,61.0,81.0,81.0,6,13,12,10,13,2017,F
612,205,J. Cramer,LB,78,83,23,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2017,F
613,206,J. Cramer,LM,78,83,23,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2017,F
614,207,J. Cramer,CM,78,83,23,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2017,F
615,208,J. Henning,CB,78,82,26,Germany,Right,57.0,44.0,50.0,49.0,80.0,78.0,6,7,7,12,6,2017,F
616,209,S. Blackstenius,ST,77,89,20,Sweden,Right,86.0,77.0,58.0,80.0,21.0,66.0,7,14,11,13,9,2017,F
617,210,L. Weiß,GK,77,77,28,Germany,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,83,73,71,75,74,2017,F
618,211,Rafaelle,CB,77,80,25,Brazil,Right,68.0,39.0,62.0,67.0,78.0,76.0,14,14,6,10,5,2017,F
619,212,Rafaelle,RB,77,80,25,Brazil,Right,68.0,39.0,62.0,67.0,78.0,76.0,14,14,6,10,5,2017,F
620,213,R. Wilkinson,RB,77,77,34,Canada,Right,73.0,41.0,60.0,67.0,75.0,74.0,10,10,9,6,13,2017,F
621,214,J. Bélanger,ST,77,77,30,Canada,Right,82.0,75.0,61.0,72.0,25.0,63.0,7,7,7,6,5,2017,F
622,215,J. Bélanger,RW,77,77,30,Canada,Right,82.0,75.0,61.0,72.0,25.0,63.0,7,7,7,6,5,2017,F
623,216,J. Bélanger,RB,77,77,30,Canada,Right,82.0,75.0,61.0,72.0,25.0,63.0,7,7,7,6,5,2017,F
624,217,C. Lavogez,LM,77,83,22,France,Right,73.0,70.0,74.0,78.0,66.0,72.0,9,12,8,8,12,2017,F
625,218,C. Lavogez,CAM,77,83,22,France,Right,73.0,70.0,74.0,78.0,66.0,72.0,9,12,8,8,12,2017,F
626,219,E. White,ST,77,81,27,England,Right,59.0,78.0,61.0,73.0,38.0,70.0,7,14,14,7,13,2017,F
627,220,J. Taylor,ST,77,77,30,England,Right,82.0,77.0,57.0,71.0,40.0,75.0,8,14,10,12,7,2017,F
628,221,C. Stoney,CB,77,77,34,England,Right,55.0,34.0,48.0,59.0,75.0,70.0,13,15,10,7,13,2017,F
629,222,J. Moore,CM,77,82,25,England,Right,67.0,57.0,71.0,69.0,75.0,75.0,8,10,12,14,10,2017,F
630,223,J. Moore,CDM,77,82,25,England,Right,67.0,57.0,71.0,69.0,75.0,75.0,8,10,12,14,10,2017,F
631,224,L. Bassett,CB,77,77,32,England,Right,56.0,36.0,50.0,62.0,76.0,75.0,13,7,15,11,10,2017,F
632,225,Marta Corredera,RM,77,82,24,Spain,Right,79.0,72.0,73.0,77.0,33.0,59.0,5,15,13,15,6,2017,F
633,226,Marta Corredera,RW,77,82,24,Spain,Right,79.0,72.0,73.0,77.0,33.0,59.0,5,15,13,15,6,2017,F
634,227,M. Heyman,ST,77,77,27,Australia,Right,75.0,77.0,59.0,77.0,43.0,73.0,13,8,15,14,11,2017,F
635,228,C. Polkinghorne,CB,77,82,27,Australia,Right,57.0,32.0,59.0,53.0,76.0,76.0,14,11,13,7,11,2017,F
636,229,E. Appelqvist,CM,77,80,26,Sweden,Right,65.0,62.0,72.0,73.0,75.0,76.0,14,11,12,11,8,2017,F
637,230,H. Folkesson,CM,77,77,27,Sweden,Right,81.0,66.0,72.0,72.0,70.0,67.0,6,13,8,6,7,2017,F
638,231,Tan Ruyin,CM,77,82,21,China PR,Right,68.0,68.0,73.0,76.0,67.0,68.0,9,11,8,15,7,2017,F
639,232,Tan Ruyin,CDM,77,82,21,China PR,Right,68.0,68.0,73.0,76.0,67.0,68.0,9,11,8,15,7,2017,F
640,233,Zhang Rui,LM,77,77,27,China PR,Right,79.0,74.0,78.0,74.0,60.0,76.0,10,6,7,12,7,2017,F
641,234,Zhang Rui,CAM,77,77,27,China PR,Right,79.0,74.0,78.0,74.0,60.0,76.0,10,6,7,12,7,2017,F
642,235,Zhang Rui,CM,77,77,27,China PR,Right,79.0,74.0,78.0,74.0,60.0,76.0,10,6,7,12,7,2017,F
643,236,Tamires,LB,77,80,24,Brazil,Left,78.0,51.0,68.0,76.0,74.0,69.0,7,13,14,10,14,2017,F
644,237,Tamires,CM,77,80,24,Brazil,Left,78.0,51.0,68.0,76.0,74.0,69.0,7,13,14,10,14,2017,F
645,238,Andressinha,CM,77,89,21,Brazil,Right,82.0,71.0,77.0,79.0,71.0,67.0,5,14,8,12,11,2017,F
646,239,Andressinha,CAM,77,89,21,Brazil,Right,82.0,71.0,77.0,79.0,71.0,67.0,5,14,8,12,11,2017,F
647,240,M. van den Berg,CB,77,80,25,Netherlands,Right,59.0,32.0,58.0,55.0,77.0,74.0,51,47,49,42,56,2017,F
648,241,A. Naeher,GK,77,80,28,United States,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,74,72,78,76,2017,F
649,242,A. Rodriguez,ST,77,77,29,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2017,F
650,243,A. Rodriguez,RW,77,77,29,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2017,F
651,244,A. Rodriguez,LW,77,77,29,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2017,F
652,245,A. Rodriguez,CAM,77,77,29,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2017,F
653,246,K. Demann,CB,76,81,23,Germany,Right,64.0,33.0,44.0,57.0,76.0,73.0,9,11,9,7,7,2017,F
654,247,R. Slegers,CAM,76,77,27,Netherlands,Right,63.0,65.0,74.0,76.0,44.0,58.0,12,10,12,9,9,2017,F
655,248,S. van Veenendaal,GK,76,80,26,Netherlands,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,71,78,60,68,77,2017,F
656,249,Mari Paz Vilas,ST,76,76,28,Spain,Right,77.0,81.0,47.0,74.0,20.0,58.0,8,11,13,9,6,2017,F
657,250,V. Pérez,CAM,76,76,28,Mexico,Right,75.0,72.0,73.0,77.0,22.0,54.0,8,14,12,13,13,2017,F
658,251,S. Mayor,RM,76,83,24,Mexico,Right,80.0,71.0,71.0,79.0,27.0,60.0,9,8,10,9,11,2017,F
659,252,S. Mayor,LM,76,83,24,Mexico,Right,80.0,71.0,71.0,79.0,27.0,60.0,9,8,10,9,11,2017,F
660,253,N. Rangel,CDM,76,83,24,Mexico,Right,61.0,50.0,66.0,66.0,73.0,79.0,11,15,10,7,9,2017,F
661,254,L. Sesselmann,CB,76,76,32,Canada,Left,70.0,29.0,46.0,41.0,74.0,79.0,6,6,9,8,9,2017,F
662,255,K. Kyle,CM,76,76,27,Canada,Right,70.0,45.0,67.0,71.0,74.0,81.0,8,13,7,7,10,2017,F
663,256,K. Kyle,CAM,76,76,27,Canada,Right,70.0,45.0,67.0,71.0,74.0,81.0,8,13,7,7,10,2017,F
664,257,K. Dali,RM,76,79,24,France,Right,80.0,69.0,73.0,78.0,51.0,65.0,9,6,14,13,9,2017,F
665,258,K. Hamraoui,CM,76,78,26,France,Right,63.0,65.0,73.0,69.0,74.0,80.0,11,6,9,6,5,2017,F
666,259,G. Tofte Ims,CM,76,76,30,Norway,Right,76.0,65.0,78.0,69.0,78.0,71.0,13,10,8,6,11,2017,F
667,260,L. Lotzen,RM,76,83,22,Germany,Right,77.0,78.0,69.0,78.0,34.0,67.0,14,14,7,10,11,2017,F
668,261,L. Lotzen,ST,76,83,22,Germany,Right,77.0,78.0,69.0,78.0,34.0,67.0,14,14,7,10,11,2017,F
669,262,L. Lotzen,LM,76,83,22,Germany,Right,77.0,78.0,69.0,78.0,34.0,67.0,14,14,7,10,11,2017,F
670,263,L. Mykjåland,ST,76,76,29,Norway,Right,82.0,77.0,71.0,76.0,64.0,62.0,8,7,8,6,11,2017,F
671,264,L. Mykjåland,CM,76,76,29,Norway,Right,82.0,77.0,71.0,76.0,64.0,62.0,8,7,8,6,11,2017,F
672,265,N. Holstad Berge,CB,76,76,29,Norway,Right,53.0,26.0,43.0,47.0,78.0,76.0,14,11,15,12,10,2017,F
673,266,F. Kirby,ST,76,84,23,England,Right,82.0,78.0,57.0,81.0,38.0,53.0,11,7,10,14,14,2017,F
674,267,Vicky Losada,CM,76,81,25,Spain,Right,73.0,73.0,69.0,72.0,65.0,71.0,10,9,9,12,12,2017,F
675,268,Vicky Losada,ST,76,81,25,Spain,Right,73.0,73.0,69.0,72.0,65.0,71.0,10,9,9,12,12,2017,F
676,269,Marta Torrejón,RB,76,79,26,Spain,Right,63.0,36.0,56.0,58.0,78.0,74.0,10,5,11,13,14,2017,F
677,270,Marta Torrejón,CB,76,79,26,Spain,Right,63.0,36.0,56.0,58.0,78.0,74.0,10,5,11,13,14,2017,F
678,271,T. Butt,CAM,76,81,25,Australia,Right,69.0,67.0,76.0,74.0,64.0,73.0,14,6,14,13,13,2017,F
679,272,T. Butt,CM,76,81,25,Australia,Right,69.0,67.0,76.0,74.0,64.0,73.0,14,6,14,13,13,2017,F
680,273,L. Williams,GK,76,76,28,Australia,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,78,72,61,79,77,2017,F
681,274,C. Foord,RW,76,87,21,Australia,Right,87.0,69.0,68.0,75.0,64.0,64.0,10,14,10,10,11,2017,F
682,275,C. Foord,RB,76,87,21,Australia,Right,87.0,69.0,68.0,75.0,64.0,64.0,10,14,10,10,11,2017,F
683,276,I. Moe Wold,RB,76,77,26,Norway,Right,90.0,34.0,65.0,72.0,74.0,63.0,6,12,10,6,13,2017,F
684,277,I. Moe Wold,LB,76,77,26,Norway,Right,90.0,34.0,65.0,72.0,74.0,63.0,6,12,10,6,13,2017,F
685,278,E. Rubensson,RB,76,84,23,Sweden,Right,85.0,49.0,62.0,77.0,73.0,65.0,13,10,8,6,7,2017,F
686,279,E. Rubensson,LB,76,84,23,Sweden,Right,85.0,49.0,62.0,77.0,73.0,65.0,13,10,8,6,7,2017,F
687,280,Zhang Yue,GK,76,79,25,China PR,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,70,81,69,72,80,2017,F
688,281,Thaisa,CDM,76,77,27,Brazil,Right,69.0,51.0,60.0,73.0,76.0,76.0,10,10,8,9,5,2017,F
689,282,Thaisa,CM,76,77,27,Brazil,Right,69.0,51.0,60.0,73.0,76.0,76.0,10,10,8,9,5,2017,F
690,283,I. Hjelmseth,GK,76,76,36,Norway,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,80,75,77,70,77,2017,F
691,284,L. Geurts,GK,75,75,30,Netherlands,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,70,74,78,77,73,2017,F
692,285,S. van der Gragt,CB,75,79,23,Netherlands,Left,59.0,29.0,54.0,47.0,72.0,83.0,5,7,13,11,13,2017,F
693,286,S. van der Gragt,LB,75,79,23,Netherlands,Left,59.0,29.0,54.0,47.0,72.0,83.0,5,7,13,11,13,2017,F
694,287,T. Middag,CDM,75,80,23,Netherlands,Right,68.0,56.0,71.0,70.0,65.0,75.0,13,9,8,14,11,2017,F
695,288,T. Middag,CM,75,80,23,Netherlands,Right,68.0,56.0,71.0,70.0,65.0,75.0,13,9,8,14,11,2017,F
696,289,S. van de Sanden,RW,75,79,23,Netherlands,Right,93.0,67.0,62.0,76.0,35.0,66.0,7,11,14,8,7,2017,F
697,290,M. Ocampo,LM,75,75,29,Mexico,Left,86.0,68.0,69.0,77.0,28.0,61.0,8,13,15,11,14,2017,F
698,291,C. Fiskerstrand,GK,75,87,20,Norway,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,77,72,69,71,78,2017,F
699,292,I. Herlovsen,ST,75,75,28,Norway,Left,72.0,82.0,36.0,70.0,23.0,53.0,10,11,9,11,8,2017,F
700,293,I. Herlovsen,CAM,75,75,28,Norway,Left,72.0,82.0,36.0,70.0,23.0,53.0,10,11,9,11,8,2017,F
701,294,I. Stensland,CM,75,75,34,Norway,Right,72.0,65.0,65.0,69.0,81.0,79.0,7,7,7,9,5,2017,F
702,295,L. Sanderson,ST,75,75,28,England,Right,68.0,77.0,58.0,68.0,28.0,75.0,10,14,12,12,10,2017,F
703,296,A. Greenwood,LB,75,84,22,England,Left,66.0,38.0,60.0,64.0,76.0,74.0,10,8,10,13,12,2017,F
704,297,Alexia Putellas,LM,75,85,22,Spain,Left,66.0,73.0,75.0,77.0,64.0,55.0,13,15,9,13,8,2017,F
705,298,Alexia Putellas,CM,75,85,22,Spain,Left,66.0,73.0,75.0,77.0,64.0,55.0,13,15,9,13,8,2017,F
706,299,Alexia Putellas,LW,75,85,22,Spain,Left,66.0,73.0,75.0,77.0,64.0,55.0,13,15,9,13,8,2017,F
707,300,Ruth García,CB,75,76,29,Spain,Right,61.0,31.0,45.0,43.0,76.0,75.0,10,12,8,5,14,2017,F
708,301,Virginia Torrecilla,CM,75,83,21,Spain,Right,68.0,59.0,70.0,69.0,68.0,64.0,9,6,9,12,6,2017,F
709,302,Virginia Torrecilla,CDM,75,83,21,Spain,Right,68.0,59.0,70.0,69.0,68.0,64.0,9,6,9,12,6,2017,F
710,303,L. Alleway,CB,75,76,26,Australia,Right,54.0,37.0,48.0,47.0,76.0,82.0,11,7,10,8,5,2017,F
711,304,A. Kennedy,CB,75,91,21,Australia,Right,59.0,54.0,61.0,58.0,75.0,79.0,8,8,8,14,11,2017,F
712,305,A. Kennedy,CM,75,91,21,Australia,Right,59.0,54.0,61.0,58.0,75.0,79.0,8,8,8,14,11,2017,F
713,306,E. Berglund,CB,75,78,27,Sweden,Right,69.0,28.0,48.0,52.0,77.0,75.0,6,7,12,12,7,2017,F
714,307,E. Berglund,RB,75,78,27,Sweden,Right,69.0,28.0,48.0,52.0,77.0,75.0,6,7,12,12,7,2017,F
715,308,O. Schough,ST,75,80,25,Sweden,Right,85.0,74.0,70.0,75.0,40.0,72.0,11,13,10,8,9,2017,F
716,309,O. Schough,RW,75,80,25,Sweden,Right,85.0,74.0,70.0,75.0,40.0,72.0,11,13,10,8,9,2017,F
717,310,O. Schough,LW,75,80,25,Sweden,Right,85.0,74.0,70.0,75.0,40.0,72.0,11,13,10,8,9,2017,F
718,311,Gu Yasha,RM,75,78,25,China PR,Right,82.0,68.0,71.0,72.0,31.0,62.0,7,6,10,11,11,2017,F
719,312,Gu Yasha,LM,75,78,25,China PR,Right,82.0,68.0,71.0,72.0,31.0,62.0,7,6,10,11,11,2017,F
720,313,Li Ying,ST,75,82,23,China PR,Left,77.0,75.0,68.0,74.0,31.0,70.0,6,13,11,10,8,2017,F
721,314,Li Ying,CAM,75,82,23,China PR,Left,77.0,75.0,68.0,74.0,31.0,70.0,6,13,11,10,8,2017,F
722,315,Li Ying,LM,75,82,23,China PR,Left,77.0,75.0,68.0,74.0,31.0,70.0,6,13,11,10,8,2017,F
723,316,Maurine,RB,75,75,30,Brazil,Right,83.0,71.0,73.0,77.0,70.0,56.0,7,14,14,12,12,2017,F
724,317,Maurine,RM,75,75,30,Brazil,Right,83.0,71.0,73.0,77.0,70.0,56.0,7,14,14,12,12,2017,F
725,318,Tayla,CB,75,83,24,Brazil,Right,63.0,40.0,44.0,61.0,75.0,78.0,13,7,9,8,13,2017,F
726,319,K. Hendrich,CB,75,84,24,Germany,Right,69.0,28.0,49.0,62.0,74.0,73.0,11,8,11,7,7,2017,F
727,320,K. Hendrich,RB,75,84,24,Germany,Right,69.0,28.0,49.0,62.0,74.0,73.0,11,8,11,7,7,2017,F
728,321,K. Hendrich,LB,75,84,24,Germany,Right,69.0,28.0,49.0,62.0,74.0,73.0,11,8,11,7,7,2017,F
729,322,M. Gérard,GK,74,77,26,France,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,76,71,69,77,2017,F
730,323,A. Garciamendez,CB,74,79,25,Mexico,Left,39.0,42.0,43.0,45.0,76.0,74.0,12,10,12,9,9,2017,F
731,324,Rilany,LB,74,74,30,Brazil,Left,80.0,52.0,68.0,75.0,71.0,69.0,14,9,12,9,15,2017,F
732,325,A. Chapman,LB,74,75,27,Canada,Left,75.0,33.0,50.0,55.0,77.0,75.0,8,14,10,15,9,2017,F
733,326,S. Jensen,ST,74,91,20,Norway,Right,77.0,78.0,45.0,69.0,21.0,61.0,8,13,14,6,7,2017,F
734,327,M. Skammelsrud Lund,CB,74,77,27,Norway,Right,78.0,23.0,52.0,56.0,75.0,74.0,7,15,15,15,12,2017,F
735,328,M. Skammelsrud Lund,RB,74,77,27,Norway,Right,78.0,23.0,52.0,56.0,75.0,74.0,7,15,15,15,12,2017,F
736,329,D. Stokes,LB,74,80,24,England,Left,89.0,37.0,56.0,64.0,72.0,74.0,9,10,14,10,6,2017,F
737,330,Lola Gallardo,GK,74,81,23,Spain,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,72,73,74,74,73,2017,F
738,331,Natalia Pablos,ST,74,74,30,Spain,Right,76.0,76.0,58.0,71.0,22.0,62.0,11,9,6,15,6,2017,F
739,332,Irene Paredes,CB,74,79,24,Spain,Right,61.0,50.0,55.0,57.0,75.0,68.0,13,10,11,12,14,2017,F
740,333,M. Sandvei,LB,74,74,29,Norway,Right,75.0,39.0,60.0,70.0,75.0,61.0,12,9,6,7,7,2017,F
741,334,H. Carlén,GK,74,80,24,Sweden,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,70,78,67,69,74,2017,F
742,335,L. Nilsson,LB,74,74,29,Sweden,Right,69.0,32.0,59.0,70.0,74.0,76.0,13,11,12,5,13,2017,F
743,336,L. Nilsson,RB,74,74,29,Sweden,Right,69.0,32.0,59.0,70.0,74.0,76.0,13,11,12,5,13,2017,F
744,337,L. Nilsson,LM,74,74,29,Sweden,Right,69.0,32.0,59.0,70.0,74.0,76.0,13,11,12,5,13,2017,F
745,338,A. Ilestedt,CB,74,83,23,Sweden,Right,81.0,34.0,38.0,46.0,74.0,76.0,13,7,7,5,12,2017,F
746,339,J. Samuelsson,LB,74,80,24,Sweden,Right,87.0,29.0,61.0,69.0,71.0,74.0,8,8,12,9,11,2017,F
747,340,J. Samuelsson,RB,74,80,24,Sweden,Right,87.0,29.0,61.0,69.0,71.0,74.0,8,8,12,9,11,2017,F
748,341,Wang Lisi,RM,74,80,24,China PR,Right,78.0,72.0,71.0,76.0,41.0,67.0,6,11,10,11,14,2017,F
749,342,Wang Lisi,CAM,74,80,24,China PR,Right,78.0,72.0,71.0,76.0,41.0,67.0,6,11,10,11,14,2017,F
750,343,Wang Lisi,ST,74,80,24,China PR,Right,78.0,72.0,71.0,76.0,41.0,67.0,6,11,10,11,14,2017,F
751,344,Poliana,RB,74,79,25,Brazil,Right,71.0,47.0,68.0,73.0,72.0,71.0,7,15,11,10,10,2017,F
752,345,Wang Shuang,CAM,74,83,21,China PR,Left,84.0,69.0,68.0,78.0,37.0,66.0,13,14,5,15,9,2017,F
753,346,Wang Shuang,RM,74,83,21,China PR,Left,84.0,69.0,68.0,78.0,37.0,66.0,13,14,5,15,9,2017,F
754,347,C. Press,ST,74,78,27,United States,Right,77.0,74.0,47.0,69.0,28.0,67.0,13,12,7,9,9,2017,F
755,348,C. Press,RM,74,78,27,United States,Right,77.0,74.0,47.0,69.0,28.0,67.0,13,12,7,9,9,2017,F
756,349,E. Jansen,ST,73,78,23,Netherlands,Right,66.0,69.0,56.0,69.0,28.0,64.0,5,12,8,9,8,2017,F
757,350,J. Groenen,CAM,73,81,21,Netherlands,Right,80.0,60.0,70.0,76.0,43.0,71.0,11,9,5,14,5,2017,F
758,351,J. Groenen,CM,73,81,21,Netherlands,Right,80.0,60.0,70.0,76.0,43.0,71.0,11,9,5,14,5,2017,F
759,352,J. Groenen,LW,73,81,21,Netherlands,Right,80.0,60.0,70.0,76.0,43.0,71.0,11,9,5,14,5,2017,F
760,353,C. Jaramillo,LM,73,82,22,Mexico,Left,83.0,54.0,71.0,75.0,32.0,59.0,13,9,12,6,11,2017,F
761,354,C. Jaramillo,CAM,73,82,22,Mexico,Left,83.0,54.0,71.0,75.0,32.0,59.0,13,9,12,6,11,2017,F
762,355,C. Santiago,GK,73,83,21,Mexico,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,67,56,68,81,2017,F
763,356,C. Moscato,CB,73,73,32,Canada,Right,65.0,28.0,41.0,50.0,73.0,74.0,11,12,6,10,10,2017,F
764,357,S. Labbé,GK,73,73,29,Canada,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,72,69,72,75,2017,F
765,358,J. Beckie,ST,73,85,21,Canada,Right,88.0,70.0,60.0,73.0,20.0,58.0,6,8,8,5,11,2017,F
766,359,C. Telford,GK,73,73,28,England,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,65,78,71,74,71,2017,F
767,360,G. Davison,RM,73,73,29,England,Right,90.0,65.0,67.0,72.0,36.0,69.0,7,12,8,12,14,2017,F
768,361,S. Chamberlain,GK,73,73,32,England,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,68,70,70,75,2017,F
769,362,Leire Landa,LB,73,73,29,Spain,Left,63.0,33.0,59.0,64.0,74.0,69.0,10,14,11,6,10,2017,F
